id,path
5780,164 11 11 60 42 42 5
1142,6 41 11 11 60 14
8757,26 11 11 12 13 42 13 42 27
14893,126 11 11 12 42 131
16101,15 11 11 46 47 48 49
27963,144 11 46 80 55 56 48
8537,6 41 11 60 42 43 105 106
11609,79 75 34 72 70 34 35 36 37 38
13334,1 75 34 71 55 76 169
22770,58 12 42 57 42 42 42 5
88,6 11 60 14
3736,79 75 34 72 70 34 35 36 37 49
12668,1 45 11 12 42 13 42 42 40 5
550,6 11 60 21
6117,26 11 11 12 13 42 13 42 74
10367,6 41 11 45 11 60 21
6692,1 11 11 11 12 13 42 146 59
18631,183 11 11 12 42 42 13 14
14914,126 11 11 12 42 154
2801,6 11 12 42 42 98 59
7362,158 11 11 60 42 57 42 43 44
5855,6 41 11 45 11 60 14
1438,15 2 52 53 54 55 96 48 49
25239,79 75 34 72 70 34 35 36 37 5
7589,79 75 34 72 70 34 35 36 37 17
3628,6 95 42 13 42 42 40 5
12334,1 45 11 60 42 13 42 42 142
26208,26 11 118 119 103 42 42 42 40 5
8105,164 11 11 60 42 40 5
28218,22 114 81 82 83 34 72 73 14
4746,22 114 81 82 83 34 72 73 17
17067,143 11 129 42 42 57 42 42 5
22933,126 11 11 12 42 177
18862,122 123 68 11 11 11 46 12 142
9394,162 75 34 71 55 84 85
8770,164 165 11 11 46 115 48 49
5125,58 12 42 57 42 42 40 5
17876,26 11 11 11 11 12 42 42 43 44
1721,26 11 11 11 11 12 42 42 42 74
26151,6 153 11 45 11 12 27
19166,67 68 11 46 261 78 55 84 48 49
15191,65 114 11 60 42 42 74
18245,29 11 11 129 42 40 5
17767,6 118 114 23 153 12 146 17
21806,22 45 11 60 42 40 5
11742,26 11 45 11 12 42 40 5
4259,15 16 19 20 224 39 40 5
11232,26 11 11 11 11 12 57 42 27
22028,6 95 42 42 57 42 42 98 59
14714,22 46 138 34 71 55 76 28
10176,110 111 42 3 21
8256,117 11 11 12 42 42 5
21493,6 11 12 42 42 98 21
20712,69 45 11 12 42 42 42 42 74
22081,144 11 81 82 83 34 72 73 17
2365,6 11 12 42 42 98 17
9314,199 11 11 11 46 11 12 42 40 5
8776,117 11 11 12 42 42 27
14680,126 11 11 12 42 5
16080,69 45 11 46 63 34 71 55 182 215
3131,1 45 11 11 46 211 48 49
2098,29 11 11 129 42 42 27
22516,26 11 11 11 11 12 42 42 42 14
26976,110 62 63 34 71 55 56 57 42 5
27088,69 11 45 11 11 12 13 42 146 17
13450,26 11 11 11 11 12 42 42 42 5
1674,58 12 42 13 42 43 105 106
15469,110 118 114 11 45 11 45 11 60 14
22438,199 11 12 42 57 42 161
2125,6 138 34 71 55 186 77 78 55
25436,22 45 11 60 42 42 5
10421,58 95 42 42 42 42 42 13 28
9829,69 70 34 35 86 54 55 84 48 49
14216,69 75 34 75 34 35 36 64 184 17
4347,1 45 11 12 42 13 42 42 42 27
22939,65 114 11 60 42 98 103 104
20322,1 45 11 60 42 13 42 42 5
50,6 41 66 2 28
13697,29 11 11 11 12 57 42 5
27086,6 41 11 45 11 11 118 119 21
24841,168 11 11 11 46 11 11 11 60 14
18498,6 95 42 13 42 42 42 74
13829,6 41 11 45 11 11 118 119 17
17361,6 118 114 23 153 12 146 59
19797,6 95 42 13 42 42 43 44
24340,158 11 46 12 14
8580,6 11 11 11 46 11 11 60 14
224,1 75 34 71 55 76 90
1423,6 41 66 2 14
22882,26 11 11 11 11 12 42 42 42 27
22569,26 11 11 11 11 12 42 42 42 28
6938,158 11 11 12 42 57 42 101
8565,69 45 11 11 11 46 12 14
6568,130 12 42 42 42 27
20816,122 123 68 11 11 46 11 12 120 270
24875,65 114 11 60 42 40 5
26617,130 12 42 42 42 14
993,160 11 46 75 34 71 55 84 85
10013,29 11 11 11 12 57 42 27
8873,130 12 42 42 42 5
9368,1 11 11 12 42 43 105 106
25025,168 11 12 42 57 42 42 42 27
10362,1 45 11 60 42 13 42 40 5
26522,164 11 12 42 42 13 42 43 105 106
9271,160 11 60 14
10540,69 45 11 11 11 12 42 42 42 5
2142,22 45 11 46 63 34 71 55 56 48
11710,69 45 11 11 11 12 42 42 42 27
27708,6 11 46 11 45 11 12 42 43 44
18808,143 11 45 11 11 11 46 47 48 49
3084,6 11 46 75 34 71 55 84 48 49
8632,29 11 11 11 81 178 21
8962,67 68 11 11 118 119 103 42 194
11671,61 62 63 34 71 55 139 42 5
26190,158 11 11 11 129 42 42 42 5
15468,65 114 11 60 42 42 27
6946,130 12 42 42 40 5
2044,1 127 94 132 133 42 5
17971,67 68 11 11 118 119 103 42 161
5568,6 25 16 19 5
7511,199 11 60 42 42 5
6035,69 11 45 11 46 63 34 72 73 17
2983,6 41 66 118 114 11 46 12 14
25694,189 100 12 42 42 13 42 5
1516,69 45 11 11 11 12 42 42 40 5
12980,158 11 46 12 142
15484,58 12 42 57 42 42 43 173
13206,122 123 68 11 46 11 12 42 13 14
22535,6 11 45 11 81 178 94 42 13 14
11916,6 11 45 11 81 178 94 42 13 21
26638,130 12 42 42 42 140
2420,162 75 34 71 55 76 90
8977,1 60 42 42 132 133 42 42 27
10761,22 60 42 98 103 42 132 142
9091,22 60 42 98 103 42 132 140
18325,22 114 11 118 114 11 45 11 60 14
5775,164 11 11 60 42 42 140
10535,1 60 42 146 42 13 28
5716,164 11 11 60 42 42 142
10575,1 60 42 146 42 13 21
7512,199 11 60 42 42 27
4457,1 60 42 146 42 13 14
14803,1 75 34 71 55 84 48
6461,164 11 81 178 94 42 42 5
17798,6 118 114 11 60 42 13 21
18006,286 11 46 80 55 56 48 49
24483,22 60 42 98 103 42 134 28
21981,1 11 11 11 46 11 46 115 48 49
7050,130 12 42 42 42 74
24910,158 11 11 11 129 42 42 42 142
26669,158 11 11 11 129 42 42 42 140
9060,230 12 42 40 5
4244,26 11 11 11 46 115 48 49
818,1 75 34 71 55 84 85
19070,162 75 34 71 55 76 169
8071,164 11 11 11 46 11 12 42 140
10296,122 123 68 11 45 11 60 42 13 14
8143,164 11 11 11 46 11 12 42 142
17804,6 118 114 11 60 42 13 14
7867,6 11 45 11 81 178 94 42 13 28
5985,65 114 11 45 11 11 12 13 28
838,164 165 11 11 46 47 48 49
6942,6 41 11 12 42 142
15800,6 41 11 12 42 147
16069,62 63 34 71 55 186 172 28
4157,6 41 11 12 42 148
27462,69 75 34 35 36 37 38
17474,6 41 11 12 42 135
26603,26 11 11 12 13 42 42 142
1817,6 41 11 12 42 136
16602,29 11 45 11 11 12 161
23917,22 45 11 11 129 42 187
6949,6 41 11 12 42 140
25990,69 75 34 75 34 72 249 250 251 201
6001,6 41 11 12 42 137
23064,26 11 11 12 13 42 42 140
11252,29 11 46 11 11 46 80 55 77 59
22249,6 41 11 12 42 157
27345,69 75 34 35 36 37 17
21894,6 41 11 45 11 11 12 194
3308,26 11 11 12 57 42 42 74
3662,26 11 11 12 57 42 43 44
19098,29 11 45 11 11 12 157
2923,6 41 11 12 42 161
16403,6 41 11 12 42 152
9044,1 60 42 42 132 133 42 13 28
11285,26 11 11 12 13 42 43 97
16103,62 63 34 71 55 186 172 5
18632,29 11 11 166 11 45 11 60 14
10647,6 41 11 12 42 154
14759,69 62 63 34 71 55 56 57 42 30
1544,6 41 11 12 42 104
13393,6 41 11 12 42 101
19791,168 11 118 119 21
23118,6 41 11 45 11 11 12 136
15003,6 41 11 12 42 128
16814,6 41 11 45 11 11 12 161
17452,162 80 55 77 78 55 56 48
26860,69 70 34 71 55 77 78 55 56 48
